date,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
2020-01-31,266,2488,579,201,86,492,150,70,281,165,529,162,44,225,95,71,57,103,20,18,12,8
2020-02-01,1476,10435,2919,1102,531,1793,921,340,1399,816,2230,495,298,791,455,386,300,446,99,58,90,52
2020-02-02,1483,11821,2872,1190,576,1771,960,376,1585,926,2701,25027,393,948,498,480,330,401,106,54,84,43
2020-02-03,1519,11441,2796,1199,546,1928,885,348,1498,817,2632,598,318,984,491,401,343,473,115,85,36,63
2020-02-04,1374,11194,2811,1128,497,1990,842,314,1478,874,2341,619,306,878,527,389,334,407,88,72,77,41
2020-02-05,1342,11010,2663,1126,505,2011,788,345,1446,874,2470,567,325,893,478,384,297,439,97,86,37,31
2020-02-06,1238,10561,2530,1101,509,1955,731,299,1363,850,2218,555,297,772,501,371,287,390,96,78,53,39
2020-02-07,1315,10253,2832,1041,544,1797,797,311,1330,813,2196,510,317,749,538,300,273,407,103,91,45,31
2020-02-08,1329,10568,2870,1133,615,1801,861,334,1465,833,2268,509,319,783,519,397,324,414,114,81,38,35
2020-02-09,1448,11665,2761,1184,553,1781,823,321,1559,792,2521,475,283,898,511,420,333,398,119,75,34,42
2020-02-10,1351,10996,2680,1181,504,1856,751,296,1494,802,2372,539,295,842,507,392,296,402,97,68,65,50
2020-02-11,1850,12457,2833,1138,567,1928,823,333,1620,824,2742,513,289,973,496,448,349,453,87,68,33,44
2020-02-12,1489,12660,2840,1138,496,2004,789,345,1605,907,2799,601,287,1014,484,370,325,476,118,83,50,49
2020-02-13,1448,12129,2964,1162,548,2251,877,354,1684,958,2752,692,313,993,568,442,341,458,120,83,57,58
2020-02-14,1397,11684,3177,1136,568,2049,902,347,1587,831,2548,583,372,955,586,396,353,498,114,64,47,42
2020-02-15,1530,11681,3192,1134,627,1996,972,347,1670,843,2535,572,348,967,463,412,363,461,145,64,47,52
2020-02-16,1646,13941,3001,1213,617,2118,873,416,1814,859,3051,641,310,1182,501,458,407,497,133,62,50,57
2020-02-17,1471,12096,2796,1227,525,2201,800,348,1726,905,2744,696,280,1058,510,402,363,510,111,78,38,69
2020-02-18,1357,11682,2680,1175,497,2305,782,323,1652,871,2583,679,299,1034,559,451,382,410,108,75,50,47
2020-02-19,1311,11426,2978,1324,530,2102,812,335,1532,875,2528,636,289,981,526,402,374,471,112,67,69,47
2020-02-20,1365,11375,2961,1117,598,2125,820,311,1622,858,2485,619,284,963,487,397,365,487,110,77,51,49
2020-02-21,1371,11238,3157,1081,592,2013,894,354,1518,865,2439,574,335,893,544,390,322,432,99,75,64,50
2020-02-22,1477,11574,2940,1106,573,2034,824,349,1622,792,2483,585,306,931,518,480,344,434,121,66,44,58
2020-02-23,1445,11204,3051,1136,590,2011,869,371,1569,887,2348,567,322,834,481,428,376,426,85,80,59,41
2020-02-24,1559,13373,3090,1313,649,2016,925,364,1628,878,3017,599,297,1094,510,445,414,461,124,69,36,50
2020-02-25,1515,13165,2877,1300,543,2238,782,372,1739,883,3035,598,283,1125,510,468,388,549,124,75,49,57
2020-02-26,1426,12711,2762,1175,546,2479,729,325,1693,845,2967,798,263,1065,475,411,433,426,101,82,47,53
2020-02-27,1385,13424,2760,1161,501,3014,699,350,1686,864,3022,1175,250,953,447,371,352,477,125,71,39,50
2020-02-28,1498,12357,3364,1265,692,3765,954,357,1489,931,2667,1749,348,924,496,365,309,474,112,79,41,47
2020-02-29,1202,9440,2428,1130,554,3109,718,274,1268,790,2003,1701,229,740,377,297,273,393,93,43,27,40
