hour,year,month,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,4264220.0,4222.0,402,178,137,305,347,102,243,175,155,21,3,9,3,10,7,7,1,1,4,11,6
1.0,4427840.0,4384.0,354,175,141,347,334,120,246,193,182,29,5,8,7,18,6,17,3,1,4,5,10
2.0,4312700.0,4270.0,314,145,127,345,368,121,252,189,169,26,1,8,5,19,10,27,2,0,4,9,6
3.0,4747000.0,4700.0,452,124,151,347,350,130,296,203,215,21,2,9,10,15,4,8,3,5,5,10,6
4.0,4363200.0,4320.0,278,131,135,324,515,83,266,168,170,19,4,8,7,18,9,22,3,3,2,5,10
5.0,3930920.0,3892.0,258,105,111,304,398,116,240,177,165,13,2,3,2,22,4,16,3,3,5,6,6
6.0,3739020.0,3702.0,239,111,120,310,371,94,231,145,148,13,3,5,4,12,12,23,2,3,1,13,2
7.0,4199580.0,4158.0,274,123,167,337,386,86,267,164,177,20,4,4,6,17,4,20,1,7,8,12,10
8.0,4759120.0,4712.0,304,123,161,438,347,125,303,213,222,26,2,7,4,18,9,21,8,1,5,11,31
9.0,4484400.0,4440.0,334,130,160,328,386,128,284,183,204,19,3,4,3,18,5,25,3,3,2,9,10
10.0,4740940.0,4694.0,346,115,146,306,412,152,319,227,208,26,5,9,3,16,10,23,3,5,2,17,17
11.0,5761040.0,5704.0,430,97,168,395,503,195,398,268,269,29,5,9,7,15,6,33,2,8,6,12,13
12.0,6114540.0,6054.0,409,133,180,429,571,155,434,287,259,37,5,7,8,26,13,32,3,9,4,29,11
13.0,6268060.0,6206.0,430,118,221,421,620,188,454,267,260,20,6,6,5,27,13,34,3,3,5,16,7
14.0,6365020.0,6302.0,400,109,229,439,548,160,480,317,311,32,7,3,6,28,9,33,2,3,14,31,17
15.0,4639940.0,4594.0,297,84,174,332,421,97,344,225,200,20,4,6,3,18,8,28,5,5,3,22,8
16.0,2712860.0,2686.0,141,78,117,137,241,68,232,128,134,12,3,4,4,6,7,15,1,3,3,15,4
17.0,1731140.0,1714.0,115,41,63,113,156,51,130,67,67,9,3,2,1,9,4,10,4,6,2,5,7
18.0,1064540.0,1054.0,75,27,53,52,94,29,84,31,51,9,1,0,0,5,3,6,0,1,3,4,2
19.0,652460.0,646.0,33,26,22,46,77,10,51,26,12,1,2,0,1,5,3,3,0,1,3,1,2
20.0,745380.0,738.0,52,39,27,41,63,31,54,24,20,6,0,0,1,4,4,2,0,0,1,1,0
21.0,1139280.0,1128.0,94,37,44,69,108,29,76,37,33,10,0,1,0,9,4,5,2,2,2,1,4
22.0,1777600.0,1760.0,139,61,64,152,171,38,100,67,52,9,1,6,1,5,1,4,2,2,2,4,3
23.0,3013840.0,2984.0,227,106,92,226,278,76,191,110,121,12,1,5,2,11,8,20,0,1,2,6,6
