hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,91,109,30,17,53,66,31,24,22,7,68,22,34,8,43,19,12,7,26,15,31,21,57,70,16,16,19,26,16,8,4,10,10,10,17
1.0,99,120,33,34,47,53,45,31,47,18,65,14,38,14,52,10,8,14,31,12,23,27,60,78,19,17,21,30,14,9,2,5,7,4,9
2.0,113,112,46,26,76,60,34,36,25,13,72,20,43,16,45,17,2,20,27,11,15,29,46,83,18,19,33,40,13,8,3,8,10,12,16
3.0,124,128,53,33,74,51,44,28,34,8,92,25,24,17,53,10,14,19,19,10,32,23,57,84,23,14,16,32,15,8,4,10,12,10,12
4.0,105,129,42,27,53,64,44,25,27,18,68,16,22,14,36,8,4,19,19,19,17,29,72,84,17,7,23,33,15,6,5,5,8,11,14
5.0,99,143,42,22,68,71,34,16,28,7,62,18,28,14,46,16,11,21,18,14,16,24,53,89,24,12,20,16,22,5,1,3,7,12,13
6.0,105,133,44,24,60,91,45,29,23,18,65,33,21,14,41,8,7,21,20,30,28,30,63,95,17,8,27,21,21,3,3,6,5,11,23
7.0,124,159,49,31,66,83,58,30,33,15,65,51,29,12,44,11,14,17,32,13,33,31,296,96,24,13,29,27,22,8,2,9,2,14,11
8.0,122,119,48,33,54,98,43,34,26,12,61,45,27,8,39,12,12,29,32,13,23,37,134,89,17,16,30,21,17,4,1,4,5,10,12
9.0,120,143,33,33,74,82,45,31,29,14,78,33,32,12,36,9,16,18,23,27,17,39,136,116,32,17,27,37,23,7,13,5,11,17,16
10.0,143,143,60,26,65,84,62,28,35,7,80,48,29,10,47,9,11,15,33,21,25,35,121,104,13,19,31,52,33,9,8,5,10,22,12
11.0,186,154,61,50,77,95,62,32,52,14,77,59,26,13,36,14,21,21,42,22,22,47,119,158,19,14,40,55,29,11,5,17,7,26,22
12.0,169,206,81,49,88,101,70,48,42,13,92,60,46,10,84,13,19,26,43,27,30,46,144,174,33,18,35,51,32,5,4,17,15,22,18
13.0,203,210,74,61,91,112,82,29,56,16,100,67,38,7,93,16,24,24,41,29,31,62,135,178,42,25,39,70,29,12,5,5,13,18,29
14.0,200,209,56,84,86,113,64,38,60,12,109,79,54,21,61,14,26,24,47,28,25,43,123,163,37,17,34,51,44,15,9,12,21,17,19
15.0,147,165,58,73,62,80,74,20,33,9,81,64,25,8,45,7,21,22,37,23,27,40,97,139,32,15,27,44,28,7,3,7,6,7,26
16.0,93,102,31,32,44,52,39,14,36,3,58,24,24,2,32,12,7,19,19,15,11,28,60,79,14,9,15,27,11,5,3,2,15,9,22
17.0,62,63,25,18,34,34,29,12,22,5,22,13,15,8,20,5,4,9,11,12,9,26,40,43,14,12,9,19,10,5,2,4,5,5,8
18.0,53,41,12,5,23,19,14,6,6,3,27,12,12,4,6,6,5,2,6,6,9,18,20,17,9,7,6,9,5,3,4,5,2,4,6
19.0,34,45,13,11,22,11,13,4,9,3,8,3,8,1,2,4,5,5,6,4,4,9,22,25,16,3,2,5,3,2,0,2,2,2,8
20.0,26,24,8,8,19,18,8,9,6,1,17,5,6,4,11,2,2,1,5,5,3,11,24,17,4,4,2,6,1,4,0,0,1,1,5
21.0,41,32,12,9,22,20,20,8,8,3,15,6,15,8,17,6,5,0,7,3,7,6,12,25,9,8,5,12,4,10,1,2,1,3,8
22.0,52,73,20,19,32,15,14,8,21,5,25,7,25,9,20,9,10,9,7,11,17,18,22,24,14,15,11,9,9,3,2,5,1,5,9
23.0,103,89,39,24,46,27,35,20,31,10,56,16,34,8,41,8,4,14,15,16,14,15,30,35,23,22,15,23,10,5,0,2,2,13,8
