hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,46,423,50,47,9,81,29,9,54,24,98,31,11,40,18,11,14,17,2,2,2,1
1.0,61,428,58,27,13,76,17,16,61,33,95,26,6,43,11,15,14,23,4,2,2,2
2.0,51,431,68,37,11,78,17,10,56,29,110,26,10,38,15,10,16,13,1,2,2,0
3.0,67,656,103,44,12,109,28,13,82,36,152,42,8,53,28,25,18,18,7,2,0,3
4.0,57,504,95,43,18,86,19,11,83,30,103,33,4,47,19,15,15,16,5,1,2,1
5.0,45,458,94,37,11,66,29,19,57,32,109,18,11,38,21,20,16,15,5,1,2,1
6.0,55,475,108,51,16,94,25,12,61,29,90,14,10,53,25,12,14,31,4,4,1,1
7.0,69,571,160,47,26,91,57,16,91,27,118,27,13,43,27,11,17,29,5,6,1,0
8.0,82,697,216,68,42,112,50,11,93,34,145,25,23,47,33,26,13,35,8,6,3,1
9.0,105,717,236,63,55,129,59,28,105,61,167,20,39,50,38,24,23,47,7,2,6,1
10.0,93,688,278,76,41,124,73,19,92,37,147,42,26,62,44,27,17,34,7,8,2,1
11.0,88,747,254,78,48,121,78,25,109,65,163,33,34,58,50,28,25,32,6,3,3,3
12.0,117,663,285,95,47,108,84,24,103,68,167,31,28,43,48,28,23,23,8,6,2,5
13.0,108,698,267,102,53,143,83,31,114,66,166,37,36,48,47,24,24,29,12,6,2,9
14.0,98,752,277,97,41,127,89,26,111,67,160,27,42,46,37,32,16,39,8,3,5,1
15.0,57,580,207,53,23,103,51,15,83,44,123,23,25,49,31,18,20,24,8,1,1,4
16.0,43,436,112,27,22,76,32,4,42,42,80,16,13,44,21,18,9,22,4,2,2,2
17.0,23,290,78,14,19,51,14,5,33,17,57,23,6,17,8,4,9,10,1,2,0,2
18.0,13,160,46,17,13,27,5,8,22,20,29,6,3,13,7,8,6,6,2,0,2,1
19.0,9,118,24,4,5,37,6,4,14,9,25,14,6,8,2,4,5,6,2,0,0,0
20.0,18,128,39,5,6,28,7,4,18,10,26,15,4,10,6,1,5,4,0,0,1,1
21.0,10,190,34,26,10,43,9,13,22,8,34,9,3,22,16,10,10,6,1,2,1,1
22.0,35,430,39,29,14,58,23,13,39,14,80,19,4,41,10,6,11,12,5,2,3,0
23.0,47,444,49,49,13,81,18,11,42,29,104,26,7,42,24,19,13,7,2,1,2,1
